x,y,TOTAL_SNOW,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,SPEED_MAX_GUST,TOTAL_RAIN,MAX_REL_HUMIDITY_FLAG,ID,MEAN_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,STATION_NAME,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,LOCAL_DATE,PROVINCE_CODE,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,CLIMATE_IDENTIFIER,LOCAL_YEAR,LOCAL_DAY,TOTAL_RAIN_FLAG
-123.12186944444444,49.29535277777778,0,0,0,,2,,,18.1,0,,0,,1108446.1985.2.3,-0.1,,,,,,,VANCOUVER HARBOUR CS,,-3.1,1985-02-03 00:00:00,BC,,,,,2.9,1108446,1985,3,
-123.12186944444444,49.29535277777778,4,4,0,,2,,,19.3,0,,0,,1108446.1985.2.4,-1.3,,,,,,,VANCOUVER HARBOUR CS,,-3,1985-02-04 00:00:00,BC,,,,,0.4,1108446,1985,4,
-123.12186944444444,49.29535277777778,0.6,0.6,0,,2,,,17.3,4,,0,,1108446.1985.2.5,0.7,,,,,,,VANCOUVER HARBOUR CS,,-1.3,1985-02-05 00:00:00,BC,,,,,2.6,1108446,1985,5,T
-123.12186944444444,49.29535277777778,0.2,12.2,0,,2,,,15.9,2,,12,,1108446.1985.2.6,2.1,,,,,,,VANCOUVER HARBOUR CS,,0.5,1985-02-06 00:00:00,BC,,,,,3.7,1108446,1985,6,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,14.8,1,,0,,1108446.1985.2.7,3.2,,,,,,,VANCOUVER HARBOUR CS,,1.4,1985-02-07 00:00:00,BC,,,,,4.9,1108446,1985,7,
-123.12186944444444,49.29535277777778,0.2,0.2,0,,2,,,15.8,0,,0,,1108446.1985.2.8,2.2,,,,,,,VANCOUVER HARBOUR CS,,0.2,1985-02-08 00:00:00,BC,,,,,4.2,1108446,1985,8,
-123.12186944444444,49.29535277777778,6,6,0,,2,,,17.2,0,,0,,1108446.1985.2.9,0.8,,,T,,,,VANCOUVER HARBOUR CS,,-1.2,1985-02-09 00:00:00,BC,,,,,2.8,1108446,1985,9,
-123.12186944444444,49.29535277777778,0,16,0,,2,,,15,3,,16,,1108446.1985.2.10,3,,,,,,,VANCOUVER HARBOUR CS,,0.5,1985-02-10 00:00:00,BC,,,,,5.5,1108446,1985,10,
-123.12186944444444,49.29535277777778,0,17.4,0,,2,,,11.8,0,,17.4,,1108446.1985.2.11,6.2,,,,,,,VANCOUVER HARBOUR CS,,2.6,1985-02-11 00:00:00,BC,,,,,9.7,1108446,1985,11,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,13.6,0,,0,,1108446.1985.2.12,4.4,,,,T,,,VANCOUVER HARBOUR CS,,2.2,1985-02-12 00:00:00,BC,,,,,6.6,1108446,1985,12,T
-123.12186944444444,49.29535277777778,0,0,0,,2,,,13.2,0,,0,,1108446.1985.2.13,4.8,,,,,,,VANCOUVER HARBOUR CS,,3.1,1985-02-13 00:00:00,BC,,,,,6.5,1108446,1985,13,
-123.12186944444444,49.29535277777778,0,3,0,,2,,,12.7,0,,3,,1108446.1985.2.14,5.3,,,,,,,VANCOUVER HARBOUR CS,,1.2,1985-02-14 00:00:00,BC,,,,,9.4,1108446,1985,14,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,11.3,0,,0,,1108446.1985.2.15,6.7,,,,T,,,VANCOUVER HARBOUR CS,,4.3,1985-02-15 00:00:00,BC,,,,,9,1108446,1985,15,T
-123.12186944444444,49.29535277777778,0,0.2,0,,2,,,13.5,0,,0.2,,1108446.1985.2.16,4.5,,,,,,,VANCOUVER HARBOUR CS,,2.4,1985-02-16 00:00:00,BC,,,,,6.5,1108446,1985,16,
