x,y,MIN_TEMPERATURE,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,LOCAL_MONTH,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,TOTAL_RAIN,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,ID,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,MAX_TEMPERATURE,LOCAL_DAY
-123.12186944444444,49.29535277777778,11,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,14.7,0,M,M,,1108446.2014.5.11,,2014-05-11 00:00:00,,M,3.3,,,,,2014,18.4,11
-123.12186944444444,49.29535277777778,10.7,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.9,0,M,M,,1108446.2014.5.12,,2014-05-12 00:00:00,,M,1.1,,,,,2014,23,12
-123.12186944444444,49.29535277777778,14,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18.4,0.4,M,M,,1108446.2014.5.13,,2014-05-13 00:00:00,,M,0,,,,,2014,22.8,13
-123.12186944444444,49.29535277777778,12,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,17.9,0,M,M,,1108446.2014.5.14,,2014-05-14 00:00:00,,M,0.1,,,,,2014,23.8,14
-123.12186944444444,49.29535277777778,13.1,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18.6,0.6,M,M,,1108446.2014.5.15,,2014-05-15 00:00:00,,M,0,,,,,2014,24.1,15
-123.12186944444444,49.29535277777778,15,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,17.6,0,M,M,,1108446.2014.5.16,,2014-05-16 00:00:00,,M,0.4,,,,,2014,20.1,16
-123.12186944444444,49.29535277777778,13.4,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.6,0,M,M,,1108446.2014.5.17,,2014-05-17 00:00:00,,M,1.4,,,,,2014,19.8,17
-123.12186944444444,49.29535277777778,11.1,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,15.1,0,M,M,,1108446.2014.5.18,,2014-05-18 00:00:00,,M,2.9,,,,,2014,19.1,18
-123.12186944444444,49.29535277777778,12.1,,M,5,1108446,,0.4,VANCOUVER HARBOUR CS,,,,,,BC,,,16.2,0,M,M,,1108446.2014.5.19,,2014-05-19 00:00:00,,M,1.8,,,,,2014,20.2,19
-123.12186944444444,49.29535277777778,12.2,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.5,0,M,M,,1108446.2014.5.20,,2014-05-20 00:00:00,,M,1.5,,,,,2014,20.7,20
-123.12186944444444,49.29535277777778,12.1,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.5,0,M,M,,1108446.2014.5.21,,2014-05-21 00:00:00,,M,1.5,,,,,2014,20.8,21
-123.12186944444444,49.29535277777778,12.9,,M,5,1108446,,0.2,VANCOUVER HARBOUR CS,,,,,,BC,,,17.2,0,M,M,,1108446.2014.5.22,,2014-05-22 00:00:00,,M,0.8,,,,,2014,21.4,22
-123.12186944444444,49.29535277777778,13.2,,M,5,1108446,,16.8,VANCOUVER HARBOUR CS,,,,,,BC,,,16.3,0,M,M,,1108446.2014.5.23,,2014-05-23 00:00:00,,M,1.7,,,,,2014,19.4,23
-123.12186944444444,49.29535277777778,12.7,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16,0,M,M,,1108446.2014.5.24,,2014-05-24 00:00:00,,M,2,,,,,2014,19.3,24
-123.12186944444444,49.29535277777778,12.2,,M,5,1108446,,7.7,VANCOUVER HARBOUR CS,,,,,,BC,,,13.3,0,M,M,,1108446.2014.5.25,,2014-05-25 00:00:00,,M,4.7,,,,,2014,14.4,25
-123.12186944444444,49.29535277777778,11.8,,M,5,1108446,,3.8,VANCOUVER HARBOUR CS,,,,,,BC,,,15.5,0,M,M,,1108446.2014.5.26,,2014-05-26 00:00:00,,M,2.5,,,,,2014,19.1,26
-123.12186944444444,49.29535277777778,10.2,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,13.9,0,M,M,,1108446.2014.5.27,,2014-05-27 00:00:00,,M,4.1,,,,,2014,17.5,27
-123.12186944444444,49.29535277777778,10.7,,M,5,1108446,,1.6,VANCOUVER HARBOUR CS,,,,,,BC,,,14.6,0,M,M,,1108446.2014.5.28,,2014-05-28 00:00:00,,M,3.4,,,,,2014,18.5,28
-123.12186944444444,49.29535277777778,10.9,,M,5,1108446,,19.9,VANCOUVER HARBOUR CS,,,,,,BC,,,12.3,0,M,M,,1108446.2014.5.29,,2014-05-29 00:00:00,,M,5.7,,,,,2014,13.6,29
-123.12186944444444,49.29535277777778,10,,M,5,1108446,,0.2,VANCOUVER HARBOUR CS,,,,,,BC,,,14.5,0,M,M,,1108446.2014.5.30,,2014-05-30 00:00:00,,M,3.5,,,,,2014,19,30
-123.12186944444444,49.29535277777778,10.5,,M,5,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,15.5,0,M,M,,1108446.2014.5.31,,2014-05-31 00:00:00,,M,2.5,,,,,2014,20.4,31
-123.12186944444444,49.29535277777778,12.1,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.4,0,M,M,,1108446.2014.6.1,,2014-06-01 00:00:00,,M,1.6,,,,,2014,20.7,1
