x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_PRECIPITATION_FLAG,MIN_TEMPERATURE_FLAG,STATION_NAME,MIN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,SPEED_MAX_GUST,LOCAL_YEAR,TOTAL_SNOW_FLAG,LOCAL_DATE,ID,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,PROVINCE_CODE,MEAN_TEMPERATURE,SNOW_ON_GROUND_FLAG,LOCAL_DAY,LOCAL_MONTH,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN_FLAG
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-01 00:00:00,1108446.1925.11.1,1108446,,,,,BC,,,1,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-02 00:00:00,1108446.1925.11.2,1108446,,,,,BC,,,2,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-03 00:00:00,1108446.1925.11.3,1108446,,,,,BC,,,3,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-04 00:00:00,1108446.1925.11.4,1108446,,,,,BC,,,4,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-05 00:00:00,1108446.1925.11.5,1108446,,,,,BC,,,5,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-06 00:00:00,1108446.1925.11.6,1108446,,,,,BC,,,6,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-07 00:00:00,1108446.1925.11.7,1108446,,,,,BC,,,7,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-08 00:00:00,1108446.1925.11.8,1108446,,,,,BC,,,8,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-09 00:00:00,1108446.1925.11.9,1108446,,,,,BC,,,9,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-10 00:00:00,1108446.1925.11.10,1108446,,,,,BC,,,10,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-11 00:00:00,1108446.1925.11.11,1108446,,,,,BC,,,11,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-12 00:00:00,1108446.1925.11.12,1108446,,,,,BC,,,12,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-13 00:00:00,1108446.1925.11.13,1108446,,,,,BC,,,13,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-14 00:00:00,1108446.1925.11.14,1108446,,,,,BC,,,14,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-15 00:00:00,1108446.1925.11.15,1108446,,,,,BC,,,15,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-16 00:00:00,1108446.1925.11.16,1108446,,,,,BC,,,16,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-17 00:00:00,1108446.1925.11.17,1108446,,,,,BC,,,17,11,,,0,
-123.12186944444444,49.29535277777778,,,,,12.4,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-18 00:00:00,1108446.1925.11.18,1108446,,,,,BC,,,18,11,,,12.4,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-19 00:00:00,1108446.1925.11.19,1108446,,,,,BC,,,19,11,,,0,
-123.12186944444444,49.29535277777778,,,,,11.9,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-20 00:00:00,1108446.1925.11.20,1108446,,,,,BC,,,20,11,,,11.9,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-21 00:00:00,1108446.1925.11.21,1108446,,,,,BC,,,21,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-22 00:00:00,1108446.1925.11.22,1108446,,,,,BC,,,22,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-23 00:00:00,1108446.1925.11.23,1108446,,,,,BC,,,23,11,,,0,
-123.12186944444444,49.29535277777778,,,,,6.1,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-24 00:00:00,1108446.1925.11.24,1108446,,,,,BC,,,24,11,,,6.1,
-123.12186944444444,49.29535277777778,,,,,0.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-25 00:00:00,1108446.1925.11.25,1108446,,,,,BC,,,25,11,,,0.3,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-26 00:00:00,1108446.1925.11.26,1108446,,,,,BC,,,26,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-27 00:00:00,1108446.1925.11.27,1108446,,,,,BC,,,27,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-28 00:00:00,1108446.1925.11.28,1108446,,,,,BC,,,28,11,,,0,
-123.12186944444444,49.29535277777778,,,,,0.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-29 00:00:00,1108446.1925.11.29,1108446,,,,,BC,,,29,11,,,0.3,
-123.12186944444444,49.29535277777778,,,,,6.6,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-11-30 00:00:00,1108446.1925.11.30,1108446,,,,,BC,,,30,11,,,6.6,
-123.12186944444444,49.29535277777778,,,,,21.1,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-01 00:00:00,1108446.1925.12.1,1108446,,,,,BC,,,1,12,,,21.1,
-123.12186944444444,49.29535277777778,,,,,1.8,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-02 00:00:00,1108446.1925.12.2,1108446,,,,,BC,,,2,12,,,1.8,
-123.12186944444444,49.29535277777778,,,,,13.7,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-03 00:00:00,1108446.1925.12.3,1108446,,,,,BC,,,3,12,,,13.7,
-123.12186944444444,49.29535277777778,,,,,33,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-04 00:00:00,1108446.1925.12.4,1108446,,,,,BC,,,4,12,,,33,
-123.12186944444444,49.29535277777778,,,,,17,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-05 00:00:00,1108446.1925.12.5,1108446,,,,,BC,,,5,12,,,17,
-123.12186944444444,49.29535277777778,,,,,9.9,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-06 00:00:00,1108446.1925.12.6,1108446,,,,,BC,,,6,12,,,9.9,
-123.12186944444444,49.29535277777778,,,,,0.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-07 00:00:00,1108446.1925.12.7,1108446,,,,,BC,,,7,12,,,0.3,
-123.12186944444444,49.29535277777778,,,,,0.5,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-08 00:00:00,1108446.1925.12.8,1108446,,,,,BC,,,8,12,,,0.5,
-123.12186944444444,49.29535277777778,,,,,2.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-09 00:00:00,1108446.1925.12.9,1108446,,,,,BC,,,9,12,,,2.3,
-123.12186944444444,49.29535277777778,,,,,37.1,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-10 00:00:00,1108446.1925.12.10,1108446,,,,,BC,,,10,12,,,37.1,
-123.12186944444444,49.29535277777778,,,,,19.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-11 00:00:00,1108446.1925.12.11,1108446,,,,,BC,,,11,12,,,19.3,
-123.12186944444444,49.29535277777778,,,,,13.7,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-12 00:00:00,1108446.1925.12.12,1108446,,,,,BC,,,12,12,,,13.7,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-13 00:00:00,1108446.1925.12.13,1108446,,,,,BC,,,13,12,,,0,
-123.12186944444444,49.29535277777778,,,,,11.7,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-14 00:00:00,1108446.1925.12.14,1108446,,,,,BC,,,14,12,,,11.7,
-123.12186944444444,49.29535277777778,,,,,51.8,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-15 00:00:00,1108446.1925.12.15,1108446,,,,,BC,,,15,12,,,51.8,
-123.12186944444444,49.29535277777778,,,,,5.1,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-16 00:00:00,1108446.1925.12.16,1108446,,,,,BC,,,16,12,,,5.1,
-123.12186944444444,49.29535277777778,,,,,32,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-17 00:00:00,1108446.1925.12.17,1108446,,,,,BC,,,17,12,,,32,
-123.12186944444444,49.29535277777778,,,,,9.4,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-18 00:00:00,1108446.1925.12.18,1108446,,,,,BC,,,18,12,,,9.4,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-19 00:00:00,1108446.1925.12.19,1108446,,,,,BC,,,19,12,,,0,
-123.12186944444444,49.29535277777778,,,,,0.5,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-20 00:00:00,1108446.1925.12.20,1108446,,,,,BC,,,20,12,,,0.5,
-123.12186944444444,49.29535277777778,,,,,26.4,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-21 00:00:00,1108446.1925.12.21,1108446,,,,,BC,,,21,12,,,26.4,
-123.12186944444444,49.29535277777778,,,,,22.1,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-22 00:00:00,1108446.1925.12.22,1108446,,,,,BC,,,22,12,,,22.1,
-123.12186944444444,49.29535277777778,,,,,19.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-23 00:00:00,1108446.1925.12.23,1108446,,,,,BC,,,23,12,,,19.3,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-24 00:00:00,1108446.1925.12.24,1108446,,,,,BC,,,24,12,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-25 00:00:00,1108446.1925.12.25,1108446,,,,,BC,,,25,12,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-26 00:00:00,1108446.1925.12.26,1108446,,,,,BC,,,26,12,,,0,
-123.12186944444444,49.29535277777778,,,,,0.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-27 00:00:00,1108446.1925.12.27,1108446,,,,,BC,,,27,12,,,0.3,
-123.12186944444444,49.29535277777778,,,,,0.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-28 00:00:00,1108446.1925.12.28,1108446,,,,,BC,,,28,12,,,0.3,
-123.12186944444444,49.29535277777778,,,,,0.5,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-29 00:00:00,1108446.1925.12.29,1108446,,,,,BC,,,29,12,,,0.5,
-123.12186944444444,49.29535277777778,,,,,0.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-30 00:00:00,1108446.1925.12.30,1108446,,,,,BC,,,30,12,,,0.3,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1925,,1925-12-31 00:00:00,1108446.1925.12.31,1108446,,,,,BC,,,31,12,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1926,,1926-01-01 00:00:00,1108446.1926.1.1,1108446,,,,,BC,,,1,1,,,0,
-123.12186944444444,49.29535277777778,,,,,0,,0,,,VANCOUVER HARBOUR CS,,,,,,,1926,,1926-01-02 00:00:00,1108446.1926.1.2,1108446,,,,,BC,,,2,1,,,0,
-123.12186944444444,49.29535277777778,,,,,3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1926,,1926-01-03 00:00:00,1108446.1926.1.3,1108446,,,,,BC,,,3,1,,,3,
-123.12186944444444,49.29535277777778,,,,,4.3,,0,,,VANCOUVER HARBOUR CS,,,,,,,1926,,1926-01-04 00:00:00,1108446.1926.1.4,1108446,,,,,BC,,,4,1,,,4.3,
-123.12186944444444,49.29535277777778,,,,,46.5,,0,,,VANCOUVER HARBOUR CS,,,,,,,1926,,1926-01-05 00:00:00,1108446.1926.1.5,1108446,,,,,BC,,,5,1,,,46.5,
